#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
OTU12667	56	10	10	15	0	32	88	10	256	11	26	10	256	8	5	9	56	16	142	0	33	2	18	12	18	4	0	82	0	4
OTU7462	14	4	1	1	4	0	0	0	8	0	22	5	6	0	3	15	1	6	5	0	0	7	4	8	1	43	3	1	3	1
OTU65	209	379	110	73	257	120	160	262	128	217	127	355	14	320	315	367	330	567	152	109	240	201	128	395	112	275	332	244	134	161
OTU7835	60	43	13	28	34	35	74	27	71	75	49	121	7	49	60	90	23	86	21	4	6	18	23	129	13	319	69	36	48	19
OTU1155	28	46	206	11	145	22	12	110	62	56	57	62	3	22	192	19	86	22	173	80	17	107	28	124	181	10	92	10	6	64
OTU30	101	1018	511	6	1230	105	340	734	718	14	683	157	1	11	580	1380	1599	76	364	584	1377	303	330	139	395	335	550	150	200	284
OTU25225	543	832	193	395	276	264	713	136	382	627	508	760	398	768	418	825	235	790	386	143	207	605	344	1263	288	668	289	276	343	115
OTU18	1809	1043	2100	894	1771	1708	1751	1307	1127	1951	1261	1336	37	1531	1851	3403	1446	5845	1018	1366	3267	1477	1100	1550	1430	3313	1847	1824	2066	1408
OTU1330	69	5	21	17	52	5	22	145	98	23	24	15	0	14	33	26	160	10	130	2	5	2	3	0	18	1	42	32	30	59
OTU1470	41	0	24	8	17	84	17	16	37	9	7	4	0	3	23	37	37	0	29	25	7	8	15	4	1	2	13	9	3	11
OTU17998	513	455	50	965	31	601	401	75	1347	330	955	358	611	258	103	1037	348	627	796	7	500	26	994	109	88	671	9	400	168	86
OTU608	123	38	59	13	168	99	29	337	99	166	196	613	0	47	66	78	169	79	82	129	30	28	12	111	83	63	40	25	19	124
OTU610	68	182	187	91	288	81	64	189	145	104	57	59	1	347	152	88	228	12	148	385	199	108	45	69	133	11	147	78	43	117
OTU23293	125	105	7	25	28	122	51	46	250	0	33	45	9089	90	4	486	142	262	607	18	142	67	132	704	78	223	12	102	26	16
OTU232	387	99	168	159	86	298	33	273	72	111	118	259	6	85	181	23	202	7	149	42	504	21	395	81	110	65	33	17	66	86
OTU2558	15	7	19	0	9	10	3	3	10	26	2	5	5	57	22	10	5	19	28	3	4	1	5	1	1	5	6	30	4	3
OTU21	588	661	335	284	622	506	499	424	471	1279	1061	632	25	772	1265	1478	616	275	480	477	706	302	529	833	461	1437	645	634	1470	415
OTU1619	62	15	58	13	41	56	24	94	122	34	29	83	0	24	78	38	62	23	75	53	39	9	38	36	9	14	11	19	25	20
OTU5456	153	26	295	64	20	22	447	1	147	9	2	8	1928	1	77	403	9	205	12	4	7	253	6	1685	3	121	4	6	23	45
OTU225	297	177	251	35	124	337	255	85	26	250	137	1967	1	312	56	630	194	362	89	145	13	285	710	1614	1085	1092	193	52	75	915
OTU623	75	227	81	17	58	27	28	104	67	71	23	479	2	39	32	36	53	271	47	18	29	32	30	51	33	66	56	33	27	37
OTU658	165	105	291	60	212	266	77	304	210	260	544	38	0	231	260	77	397	25	314	440	558	147	366	28	257	25	95	78	81	163
OTU1539	830	431	277	54	133	69	342	278	90	425	184	132	151	119	222	284	156	952	97	124	383	928	308	831	412	275	411	267	252	218
OTU1923	84	83	224	29	218	94	18	225	21	47	118	46	0	22	223	15	130	8	142	234	74	125	35	74	211	8	78	27	21	199
OTU7198	5	1	5	1	2	10	2	5	14	5	0	3	0	18	1	5	9	0	5	6	1	3	25	5	4	4	4	0	3	5
OTU22	1069	99	399	542	1754	552	847	178	1253	75	795	776	36	159	1231	583	289	42	344	222	245	321	323	784	80	1291	47	149	745	359
